LSOA11CD,LAD11CD
E01000875,E09000007
E01000876,E09000007
E01000877,E09000007
E01000878,E09000007
E01000879,E09000007
E01000880,E09000007
E01000881,E09000007
E01000882,E09000007
E01000883,E09000007
E01000884,E09000007
E01000885,E09000007
E01000886,E09000007
E01000887,E09000007
E01000888,E09000007
E01000889,E09000007
E01000890,E09000007
E01000891,E09000007
E01000892,E09000007
E01000893,E09000007
E01000894,E09000007
E01000895,E09000007
E01000896,E09000007
E01000897,E09000007
E01000898,E09000007
E01000899,E09000007
E01000900,E09000007
E01000901,E09000007
E01000902,E09000007
E01000903,E09000007
E01000904,E09000007
E01000905,E09000007
E01000906,E09000007
E01000907,E09000007
E01000908,E09000007
E01000909,E09000007
E01000910,E09000007
E01000911,E09000007
E01000912,E09000007
E01000913,E09000007
E01000914,E09000007
E01000915,E09000007
E01000916,E09000007
E01000917,E09000007
E01000918,E09000007
E01000919,E09000007
E01000920,E09000007
E01000921,E09000007
E01000922,E09000007
E01000923,E09000007
E01000924,E09000007
E01000925,E09000007
E01000926,E09000007
E01000927,E09000007
E01000928,E09000007
E01000929,E09000007
E01000930,E09000007
E01000931,E09000007
E01000932,E09000007
E01000933,E09000007
E01000934,E09000007
E01000935,E09000007
E01000936,E09000007
E01000937,E09000007
E01000938,E09000007
E01000939,E09000007
E01000940,E09000007
E01000941,E09000007
E01000942,E09000007
E01000943,E09000007
E01000944,E09000007
E01000945,E09000007
E01000946,E09000007
E01000947,E09000007
E01000948,E09000007
E01000949,E09000007
E01000950,E09000007
E01000951,E09000007
E01000952,E09000007
E01000953,E09000007
E01000954,E09000007
E01000955,E09000007
E01000956,E09000007
E01000957,E09000007
E01000958,E09000007
E01000959,E09000007
E01000960,E09000007
E01000961,E09000007
E01000962,E09000007
E01000963,E09000007
E01000964,E09000007
E01000965,E09000007
E01000966,E09000007
E01000967,E09000007
E01000968,E09000007
E01000969,E09000007
E01000970,E09000007
E01000971,E09000007
E01000972,E09000007
E01000973,E09000007
E01000974,E09000007
E01000975,E09000008
E01000976,E09000008
E01000977,E09000008
E01000978,E09000008
E01000979,E09000008
E01000980,E09000008
E01000981,E09000008
E01000982,E09000008
E01000983,E09000008
E01000984,E09000008
E01000985,E09000008
E01000986,E09000008
E01000987,E09000008
E01000989,E09000008
E01000990,E09000008
E01000991,E09000008
E01000992,E09000008
E01000993,E09000008
E01000994,E09000008
E01000995,E09000008
E01000996,E09000008
E01000997,E09000008
E01000998,E09000008
E01000999,E09000008
E01001000,E09000008
E01001001,E09000008
E01001002,E09000008
E01001003,E09000008
E01001004,E09000008
E01001005,E09000008
E01001006,E09000008
E01001007,E09000008
E01001008,E09000008
E01001009,E09000008
E01001010,E09000008
E01001011,E09000008
E01001012,E09000008
E01001013,E09000008
E01001014,E09000008
E01001015,E09000008
E01001016,E09000008
E01001017,E09000008
E01001018,E09000008
E01001019,E09000008
E01001020,E09000008
E01001021,E09000008
E01001022,E09000008
E01001023,E09000008
E01001024,E09000008
E01001025,E09000008
E01001026,E09000008
E01001027,E09000008
E01001028,E09000008
E01001029,E09000008
E01001030,E09000008
E01001031,E09000008
E01001032,E09000008
E01001033,E09000008
E01001034,E09000008
E01001035,E09000008
E01001036,E09000008
E01001037,E09000008
E01001038,E09000008
E01001039,E09000008
E01001040,E09000008
E01001041,E09000008
E01001042,E09000008
E01001043,E09000008
E01001044,E09000008
E01001045,E09000008
E01001046,E09000008
E01001047,E09000008
E01001048,E09000008
E01001049,E09000008
E01001050,E09000008
E01001051,E09000008
E01001052,E09000008
